investigation: investigation+N+SG
clatter: clatter+N+SG
cabs: cab+N+PL
commanding: commanding+N+SG
strangeness: strangeness+N+SG
immensities: immensity+N+PL
xenophobia: xenophobia+N+SG
federation: federation+N+SG
confederation: confederation+N+SG
functionalism: functionalism+N+SG
democracies: democracy+N+PL
groom: groom+N+SG
insularity: insularity+N+SG
prescriptions: Invalid Word
overhaul: overhaul+N+SG
pluralism: pluralism+N+SG
Constitutions: constitution+N+PL
goldfish: Invalid Word
exploiters: exploiter+N+PL
longtime: longtime+N+SG
CJS: cj+N+PL
Beauty: beauty+N+SG
sentinel: sentinel+N+SG
messengers: messenger+N+PL
Art: art+N+SG
underdog: underdog+N+SG
militant: militant+N+SG
bebop: bebop+N+SG
bop: bop+N+SG
chants: chant+N+PL
juxtaposition: juxtaposition+N+SG
improvisation: improvisation+N+SG
naivete: naivete+N+SG
revolutionary: revolutionary+N+SG
Anger: anger+N+SG
filth: filth+N+SG
asses: ass+N+PL
han': han'+N+SG
aberration: aberration+N+SG
OWI: owi+N+SG
newsreel: newsreel+N+SG
typicality: typicality+N+SG
untruth: untruth+N+SG
outlanders: outlander+N+PL
misinformation: misinformation+N+SG
Jewishness: Invalid Word
blushes: Invalid Word
caricature: caricature+N+SG
true: true+N+SG
pogroms: pogrom+N+PL
ghettos: ghetto+N+PL
gentile: gentile+N+SG
staples: staple+N+PL
booboo: booboo+N+SG
inclusiveness: inclusiveness+N+SG
unnaturalness: unnaturalness+N+SG
transoms: transom+N+PL
raving: raving+N+SG
flatulence: flatulence+N+SG
approximations: approximation+N+PL
cosmopolitanism: cosmopolitanism+N+SG
smog: smog+N+SG
sociology: sociology+N+SG
bedazzlement: Invalid Word
bullshit: Invalid Word
hick: hick+N+SG
aesthetic: aesthetic+N+SG
beats: beat+N+PL
thruway: thruway+N+SG
touchstones: Invalid Word
portents: portent+N+PL
toppling: toppling+N+SG
defacing: defacing+N+SG
plainclothes: plainclothe+N+PL
mispronunciation: mispronunciation+N+SG
basements: basement+N+PL
ghosts: ghost+N+PL
cliques: clique+N+PL
jackboots: jackboot+N+PL
busts: bust+N+PL
Object: object+N+SG
diapers: diaper+N+PL
Gossip: gossip+N+SG
bruise: bruise+N+SG
beatings: beating+N+PL
shakes: Invalid Word
SBA: sba+N+SG
SBA's: sba'+N+PL
diversification: diversification+N+SG
Advice: advice+N+SG
Purpose: purpose+N+SG
Branch: branch+N+SG
wholesalers: wholesaler+N+PL
repayment: repayment+N+SG
$350,000: $350,000+N+SG
installments: installment+N+PL
Commodity: commodity+N+SG
cooperative: cooperative+N+SG
Interest: interest+N+SG
OME: ome+N+SG
Funds: fund+N+PL
budgeting: budgeting+N+SG
incentives: incentive+N+PL
nationals: national+N+PL
longrun: longrun+N+SG
favoritism: favoritism+N+SG
ficialdom: ficialdom+N+SG
regimes: regime+N+PL
focusing: focusing+N+SG
tunnel: tunnel+N+SG
Dams: dam+N+PL
workday: workday+N+SG
unpleasantness: unpleasantness+N+SG
conciliator: conciliator+N+SG
fights: fight+N+PL
combatant: combatant+N+SG
statute: statute+N+SG
shoals: Invalid Word
exterior: exterior+N+SG
confessor: confessor+N+SG
analyses: analys+N+PL
Cars: car+N+PL
$.027: $.027+N+SG
Purchase: purchase+N+SG
Unit: unit+N+SG
States: state+N+PL
Mileage: mileage+N+SG
reimbursements: reimbursement+N+PL
$.07: $.07+N+SG
$.076: $.076+N+SG
$.09: $.09+N+SG
reimbursement: reimbursement+N+SG
audit: audit+N+SG
Travel: travel+N+SG
Gasoline: gasoline+N+SG
headquarter: headquarter+N+SG
garages: garage+N+PL
35%: 35%+N+SG
1%: 1%+N+SG
Pool: pool+N+SG
random: random+N+SG
dispersement: dispersement+N+SG
Bids: bid+N+PL
upgrading: upgrading+N+SG
revaluation: revaluation+N+SG
Taxation: taxation+N+SG
situs: situ+N+PL
domicile: domicile+N+SG
origination: origination+N+SG
abode: abode+N+SG
flying: flying+N+SG
assessor: assessor+N+SG
variance: variance+N+SG
questionnaire: questionnaire+N+SG
Assessors: assessor+N+PL
1,900,000: 1,900,000+N+SG
expansions: expansion+N+PL
Expansion: expansion+N+SG
relocation: relocation+N+SG
Assistance: assistance+N+SG
copyrights: copyright+N+PL
licensing: licensing+N+SG
establishing: Invalid Word
specifics: specific+N+PL
availabilities: availability+N+PL
industrialists: industrialist+N+PL
Magazine: magazine+N+SG
mailings: mailing+N+PL
conclave: conclave+N+SG
Morning: morning+N+SG
orkshop: Invalid Word
reprints: reprint+N+PL
reorientation: reorientation+N+SG
mapping: mapping+N+SG
origin/destination: origin/destination+N+SG
Inventory: inventory+N+SG
$450,000: $450,000+N+SG
calendars: calendar+N+PL
disbursements: disbursement+N+PL
Towns: town+N+PL
installment: installment+N+SG
equalization: equalization+N+SG
changing: changing+N+SG
Sacrifice: sacrifice+N+SG
proponents: proponent+N+PL
treasuries: treasury+N+PL
observances: observance+N+PL
Ballet: ballet+N+SG
Dances: dance+N+PL
Ballets: ballet+N+PL
intermissions: intermission+N+PL
authorization: authorization+N+SG
subsections: subsection+N+PL
donation: donation+N+SG
subsection: subsection+N+SG
dispositions: disposition+N+PL
$75,000,000: $75,000,000+N+SG
expiration: expiration+N+SG
lignite: lignite+N+SG
ores: ore+N+PL
mining: mining+N+SG
Payments: payment+N+PL
assay: assay+N+SG
centum: centum+N+SG
$4,500,000: $4,500,000+N+SG
$4,000,000: $4,000,000+N+SG
$3,500,000: $3,500,000+N+SG
pathology: pathology+N+SG
microwaves: microwave+N+PL
neuropathology: neuropathology+N+SG
carcinoma: carcinoma+N+SG
dysplasia: dysplasia+N+SG
microchemistry: microchemistry+N+SG
microcytochemistry: Invalid Word
diphosphopyridine: diphosphopyridine+N+SG
nucleotide: nucleotide+N+SG
synthesizine: Invalid Word
lymphoma: lymphoma+N+SG
leprae: leprae+N+SG
mycobacteria: mycobacteria+N+SG
photomicrography: photomicrography+N+SG
casualty: casualty+N+SG
demonstrations: demonstration+N+PL
Demonstrations: demonstration+N+PL
simulation: simulation+N+SG
kits: kit+N+PL
manikins: manikin+N+PL
projector: projector+N+SG
Illustrations: illustration+N+PL
fascicles: Invalid Word
registries: registry+N+PL
accessions: accession+N+PL
microscopes: Invalid Word
requesters: requester+N+PL
Specimens: specimen+N+PL
triservice: triservice+N+SG
$65,000: $65,000+N+SG
$70,000: $70,000+N+SG
typesetting: typesetting+N+SG
stapling: stapling+N+SG
$4,000: $4,000+N+SG
reinstitution: reinstitution+N+SG
bibliography: bibliography+N+SG
calorimeter: calorimeter+N+SG
fluorine: fluorine+N+SG
fluoride: fluoride+N+SG
beryllium: beryllium+N+SG
atmospheres: atmosphere+N+PL
microseconds: microsecond+N+PL
calibration: calibration+N+SG
voltage: voltage+N+SG
shutter: Invalid Word
blackening: blackening+N+SG
Experiments: experiment+N+PL
input: input+N+SG
spectra: spectra+N+SG
ions: ion+N+PL
hydrides: hydride+N+PL
SiH: sih+N+SG
telescopes: Invalid Word
bandwidth: bandwidth+N+SG
foreknowledge: foreknowledge+N+SG
microwave: microwave+N+SG
spectroscopy: Invalid Word
hydride: hydride+N+SG
Results: result+N+PL
Preparations: preparation+N+PL
thermometry: thermometry+N+SG
helium: helium+N+SG
germanium: germanium+N+SG
resistors: resistor+N+PL
interferometer: interferometer+N+SG
millidegrees: millidegree+N+PL
Carbon: carbon+N+SG
thermometers: thermometer+N+PL
resistances: resistance+N+PL
millidegree: millidegree+N+SG
calibrations: calibration+N+PL
deviations: deviation+N+PL
resistor: resistor+N+SG
reproducibilities: reproducibility+N+PL
Surface: surface+N+SG
gradients: gradient+N+PL
dewars: dewar+N+PL
gradient: gradient+N+SG
**yl: **yl+N+SG
bulb: bulb+N+SG
diaphragm: diaphragm+N+SG
in.: in.+N+SG
unbalance: unbalance+N+SG
capacitance: capacitance+N+SG
atm: atm+N+SG
overload: overload+N+SG
dissociation: dissociation+N+SG
coef: coef+N+SG
ficient: ficient+N+SG
integrals: integral+N+PL
viscosity: Invalid Word
conductivity: conductivity+N+SG
ficients: ficient+N+PL
logarithm: logarithm+N+SG
NBS: nb+N+PL
scales: Invalid Word
registrants: registrant+N+PL
interactions: interaction+N+PL
infrared: infrared+N+SG
indexing: indexing+N+SG
dissemination: dissemination+N+SG
bibliographies: bibliography+N+PL
profiles: profile+N+PL
plasma: plasma+N+SG
matrix: matrix+N+SG
misdemeanor: misdemeanor+N+SG
mandamus: mandamu+N+PL
provisons: provison+N+PL
submissions: submission+N+PL
executor: executor+N+SG
trustee: trustee+N+SG
assignee: assignee+N+SG
$17,000,000: $17,000,000+N+SG
full: full+N+SG
adjudication: adjudication+N+SG
commuter: commuter+N+SG
discontinuance: Invalid Word
commutation: commutation+N+SG
terminal: terminal+N+SG
users: user+N+PL
republics: republic+N+PL
Blockade: blockade+N+SG
ports: port+N+PL
gunfire: gunfire+N+SG
rulings: ruling+N+PL
Plenty: plenty+N+SG
Shipments: Invalid Word
contraband: contraband+N+SG
foodstuf: foodstuf+N+SG
backlog: backlog+N+SG
traineeships: Invalid Word
authorizations: authorization+N+PL
allotments: allotment+N+PL
maximums: maximum+N+PL
computations: computation+N+PL
$23,000,000: $23,000,000+N+SG
pivot: pivot+N+SG
60%: 60%+N+SG
bracing: bracing+N+SG
Mortar: mortar+N+SG
shielding: Invalid Word
inset: inset+N+SG
fig.: fig.+N+SG
Concrete: concrete+N+SG
Bricks: brick+N+PL
waterproofing: waterproofing+N+SG
Materials: material+N+PL
hatchway: hatchway+N+SG
Arrangement: arrangement+N+SG
entilation: entilation+N+SG
Radiation: radiation+N+SG
Ventilation: ventilation+N+SG
vents: vent+N+PL
ent: ent+N+SG
figs.: figs.+N+SG
CONELRAD: conelrad+N+SG
Tests: test+N+PL
Basement: basement+N+SG
Bunks: bunk+N+PL
tornado: tornado+N+SG
checklist: checklist+N+SG
rationing: rationing+N+SG
Blowers: blower+N+PL
Sanitation: sanitation+N+SG
Provision: provision+N+SG
climates: climate+N+PL
rehearsals: rehearsal+N+PL
Shelter: Invalid Word
Competitors: competitor+N+PL
monopolization: monopolization+N+SG
lessening: lessening+N+SG
incipiency: Invalid Word
restraints: restraint+N+PL
finishes: Invalid Word
decrees: decree+N+PL
judgements: judgement+N+PL
exigencies: exigency+N+PL
disenfranchisement: disenfranchisement+N+SG
divestiture: divestiture+N+SG
$2.09: $2.09+N+SG
counterproposal: counterproposal+N+SG
households: household+N+PL
quirk: quirk+N+SG
confidentiality: confidentiality+N+SG
Petitioner: petitioner+N+SG
objector: objector+N+SG
12a: 12a+N+SG
Pp.: pp.+N+SG
certiorari: certiorari+N+SG
reclassification: reclassification+N+SG
memorandum: memorandum+N+SG
registrant: registrant+N+SG
longhand: longhand+N+SG
relevancy: Invalid Word
objectors: objector+N+PL
inadvertence: inadvertence+N+SG
fliction: fliction+N+SG
bureaucracies: bureaucracy+N+PL
Dozens: dozen+N+PL
guidelines: guideline+N+PL
inflammation: inflammation+N+SG
desks: desk+N+PL
deferment: deferment+N+SG
readjustment: readjustment+N+SG
Support: support+N+SG
ICA's: ica'+N+PL
ICA: ica+N+SG
campuses: campus+N+PL
helpers: helper+N+PL
Steps: step+N+PL
currencies: currency+N+PL
Hunter: hunter+N+SG
gamebird: gamebird+N+SG
fishery: Invalid Word
impoundments: impoundment+N+PL
vegetation: vegetation+N+SG
streamside: streamside+N+SG
sawtimber: sawtimber+N+SG
waterflows: waterflow+N+PL
infestations: infestation+N+PL
Intensification: intensification+N+SG
Continuation: continuation+N+SG
dwarf: dwarf+N+SG
mistletoe: mistletoe+N+SG
softwood: softwood+N+SG
Coordination: coordination+N+SG
timberlands: timberland+N+PL
proficiency: Invalid Word
Adoption: adoption+N+SG
Reduction: reduction+N+SG
snags: snag+N+PL
firebreaks: firebreak+N+PL
Rodent: rodent+N+SG
porcupines: porcupine+N+PL
forage: forage+N+SG
infestation: infestation+N+SG
rangelands: rangeland+N+PL
jurisdictions: jurisdiction+N+PL
windstorm: windstorm+N+SG
Service: service+N+SG
stumpage: stumpage+N+SG
patenting: patenting+N+SG
inholdings: inholding+N+PL
Lands: land+N+PL
Strategy: strategy+N+SG
strengths: strength+N+PL
$12.1: $12.1+N+SG
$187: $187+N+SG
dependents: dependent+N+PL
$94: $94+N+SG
decrease: decrease+N+SG
$56: $56+N+SG
Expenditures: expenditure+N+PL
$10.3: $10.3+N+SG
$184: $184+N+SG
Legislation: legislation+N+SG
45%: 45%+N+SG
$19.3: $19.3+N+SG
decreases: decreas+N+PL
$4,753: $4,753+N+SG
$1,390: $1,390+N+SG
$3,825: $3,825+N+SG
$581: $581+N+SG
bidding: bidding+N+SG
reevaluation: reevaluation+N+SG
interceptor: interceptor+N+SG
ICBM's: icbm'+N+PL
reliability: reliability+N+SG
turbofan: turbofan+N+SG
equipping: equipping+N+SG
rupees: rupee+N+PL
rupee: rupee+N+SG
$538: $538+N+SG
$1,276: $1,276+N+SG
disbursement: disbursement+N+SG
resale: resale+N+SG
transshipment: Invalid Word
duplicate: duplicate+N+SG
$63.8: $63.8+N+SG
subsidiaries: subsidiary+N+PL
filiates: filiate+N+PL
Loans: loan+N+PL
designate: designate+N+SG
receipt: receipt+N+SG
maturities: maturity+N+PL
Uses: us+N+PL
Agriculture: agriculture+N+SG
memoranda: memoranda+N+SG
proceeding: proceeding+N+SG
kc.: kc.+N+SG
sunspot: sunspot+N+SG
separations: separation+N+PL
cochannel: cochannel+N+SG
B's: b'+N+PL
allocations: allocation+N+PL
skywave: skywave+N+SG
ionosphere: ionosphere+N+SG
groundwave: groundwave+N+SG
radiations: radiation+N+PL
averaging: averaging+N+SG
Class: class+N+SG
variability: variability+N+SG
fluctuations: fluctuation+N+PL
antennas: antenna+N+PL
fidavits: fidavit+N+PL
intereference: intereference+N+SG
refund: refund+N+SG
aliens: alien+N+PL
alien: alien+N+SG
decedent: decedent+N+SG
overpayment: overpayment+N+SG
Extensions: extension+N+PL
Citizens: citizen+N+PL
Taxpayers: taxpayer+N+PL
Refunds: refund+N+PL
royalties: royalty+N+PL
Employees: employee+N+PL
beneficiary: beneficiary+N+SG
legatee: legatee+N+SG
devisee: devisee+N+SG
dependent: dependent+N+SG
$720: $720+N+SG
selectors: selector+N+PL
constancy: Invalid Word
trickle: trickle+N+SG
essayists: essayist+N+PL
biennium: biennium+N+SG
demanding: demanding+N+SG
legion: legion+N+SG
gusto: gusto+N+SG
logarithms: logarithm+N+PL
sayings: saying+N+PL
explorations: exploration+N+PL
theoreticians: theoretician+N+PL
inductions: induction+N+PL
humanities: humanity+N+PL
metalworking: metalworking+N+SG
bustle: bustle+N+SG
watchmaker: watchmaker+N+SG
lathes: lathe+N+PL
inclinations: inclination+N+PL
apprenticeship: Invalid Word
vernier: vernier+N+SG
caliper: caliper+N+SG
graduating: graduating+N+SG
drilling: drilling+N+SG
boon: boon+N+SG
turret: turret+N+SG
rattail: rattail+N+SG
archtype: archtype+N+SG
serial: serial+N+SG
gears: gear+N+PL
producing: producing+N+SG
antecedent: antecedent+N+SG
60's: 60'+N+PL
trademark: trademark+N+SG
gages: gage+N+PL
tenets: tenet+N+PL
hobbing: hobbing+N+SG
grinders: grinder+N+PL
micrometers: micrometer+N+PL
calipers: caliper+N+PL
$2,557,1: $2,557,1+N+SG
11: 11+N+SG
$3.1: $3.1+N+SG
$2,323,867: $2,323,867+N+SG
$2.82: $2.82+N+SG
25.1%: 25.1%+N+SG
$24,926,615: $24,926,615+N+SG
$31,179,816: $31,179,816+N+SG
winder: winder+N+SG
yarns: yarn+N+PL
Fashion: Invalid Word
apparel: apparel+N+SG
blouses: blous+N+PL
winders: winder+N+PL
bobbins: bobbin+N+PL
looms: loom+N+PL
thermoplastic: thermoplastic+N+SG
filament: filament+N+SG
spinneret: spinneret+N+SG
extruder: extruder+N+SG
polymer: polymer+N+SG
licensee: licensee+N+SG
modules: module+N+PL
NAIR: nair+N+SG
Layout: layout+N+SG
$1,961,000: $1,961,000+N+SG
$395,000: $395,000+N+SG
$2,461,000: $2,461,000+N+SG
Inventories: inventory+N+PL
$625,561: $625,561+N+SG
$8,313,514: $8,313,514+N+SG
$2,412,616: $2,412,616+N+SG
synthetics: Invalid Word
auditions: audition+N+PL
Courses: cours+N+PL
Chapel: chapel+N+SG
printmaking: printmaking+N+SG
lapidary: lapidary+N+SG
contexts: context+N+PL
eligibility: eligibility+N+SG
captaincy: Invalid Word
cheerleaders: cheerleader+N+PL
soccer: soccer+N+SG
Membership: Invalid Word
beginners: beginner+N+PL
Practices: practice+N+PL
sportsmanship: Invalid Word
badminton: badminton+N+SG
hockey: hockey+N+SG
Bulletin: bulletin+N+SG
directory: directory+N+SG
annual: annual+N+SG
KARL: karl+N+SG
downtrend: downtrend+N+SG
$9.2: $9.2+N+SG
$10.1: $10.1+N+SG
$1.9: $1.9+N+SG
$1.7: $1.7+N+SG
Auto: auto+N+SG
phonographs: phonograph+N+PL
$1.8: $1.8+N+SG
$5.4: $5.4+N+SG
$4.9: $4.9+N+SG
B70: b70+N+SG
$1.6: $1.6+N+SG
retrieval: retrieval+N+SG
$1.0: $1.0+N+SG
$0.9: $0.9+N+SG
Demand: demand+N+SG
transistors: transistor+N+PL
$222: $222+N+SG
$380: $380+N+SG
capacitors: capacitor+N+PL
$10.8: $10.8+N+SG
thyratron: thyratron+N+SG
rectifier: rectifier+N+SG
compatability: compatability+N+SG
hesitance: hesitance+N+SG
deadlines: deadline+N+PL
Deans: dean+N+PL
Faculty: faculty+N+SG
diversities: diversity+N+PL
multiversity: multiversity+N+SG
forecasting: forecasting+N+SG
Trustees: trustee+N+PL
appropriateness: appropriateness+N+SG
Declinations: declination+N+PL
substitutions: substitution+N+PL
emission: emission+N+SG
Observations: observation+N+PL
reflectors: reflector+N+PL
lunation: lunation+N+SG
chap.: chap.+N+SG
interferometers: interferometer+N+PL
NRL: nrl+N+SG
reflector: reflector+N+SG
centimeter: centimeter+N+SG
6'.7: 6'.7+N+SG
fallof: fallof+N+SG
directivity: directivity+N+SG
lobe: lobe+N+SG
18'.5: 18'.5+N+SG
graphite: graphite+N+SG
anode: anode+N+SG
Argon: argon+N+SG
ablation: ablation+N+SG
Amp: amp+N+SG
fluxes: flux+N+PL
electrode: electrode+N+SG
arcs: arc+N+PL
generators: generator+N+PL
cathode: cathode+N+SG
convection: convection+N+SG
sheath: Invalid Word
conduction: conduction+N+SG
stagnation: stagnation+N+SG
anodes: anode+N+PL
voltages: voltage+N+PL
Feedback: feedback+N+SG
transpiration: transpiration+N+SG
Figures: figure+N+PL
tungsten: tungsten+N+SG
Inflow: inflow+N+SG
porosity: porosity+N+SG
pore: pore+N+SG
thermocouple: thermocouple+N+SG
pyrometers: pyrometer+N+PL
thermocouples: thermocouple+N+PL
Temperatures: temperature+N+PL
argon: argon+N+SG
regulator: regulator+N+SG
rator: rator+N+SG
ripple: ripple+N+SG
shunt: Invalid Word
millivoltmeter: millivoltmeter+N+SG
voltmeter: voltmeter+N+SG
parameters: parameter+N+PL
0.5'': 0.5''+N+SG
pyrometer: pyrometer+N+SG
enthalpy: enthalpy+N+SG
**ye: **ye+N+SG
viscometer: Invalid Word
shims: Invalid Word
shear: Invalid Word
graph: graph+N+SG
pulley: pulley+N+SG
0.002'': 0.002''+N+SG
1/16'': 1/16''+N+SG
manometer: manometer+N+SG
Figure: figure+N+SG
silicone: silicone+N+SG
cps: cp+N+PL
hr: hr+N+SG
.: .+N+SG
polybutene: polybutene+N+SG
polybutenes: polybutene+N+PL
suction: suction+N+SG
3.25'': 3.25''+N+SG
disassembly: disassembly+N+SG
magnitudes: magnitude+N+PL
elasticity: elasticity+N+SG
parameter: parameter+N+SG
pastes: paste+N+PL
inks: ink+N+PL
adhesives: adhesive+N+PL
shortness: Invalid Word
spinnability: spinnability+N+SG
ferential: ferential+N+SG
**yr: **yr+N+SG
derivative: derivative+N+SG
zero: zero+N+SG
thermodynamics: thermodynamic+N+PL
thermostatics: thermostatic+N+PL
solids: solid+N+PL
birefringence: birefringence+N+SG
**yc: **yc+N+SG
deformation: deformation+N+SG
droplets: droplet+N+PL
ellipsoids: ellipsoid+N+PL
radii: radii+N+SG
curvature: curvature+N+SG
**yg: **yg+N+SG
ellipsoid: ellipsoid+N+SG
cyclohexanol: Invalid Word
phthalate: phthalate+N+SG
poises: pois+N+PL
photograph: photograph+N+SG
cosec: cosec+N+SG
entropy: entropy+N+SG
**zq: **zq+N+SG
conformational: conformational+N+SG
gauss: gauss+N+SG
asymmetry: Invalid Word
intercept: intercept+N+SG
nuclei: nuclei+N+SG
paramagnet: paramagnet+N+SG
chromium: chromium+N+SG
dipoles: dipole+N+PL
dimethylglyoxime: dimethylglyoxime+N+SG
ion: ion+N+SG
piezoelectricity: piezoelectricity+N+SG
octahedron: octahedron+N+SG
oxygens: Invalid Word
OOH: ooh+N+SG
compounds: compound+N+PL
nonequivalence: nonequivalence+N+SG
packing: packing+N+SG
randomization: randomization+N+SG
ups: up+N+PL
decomposition: decomposition+N+SG
impurity: impurity+N+SG
centrifugation: centrifugation+N+SG
1.8%: 1.8%+N+SG
10.8%: 10.8%+N+SG
10.6%: 10.6%+N+SG
Mass: mass+N+SG
oxides: oxide+N+PL
nitrates: nitrate+N+PL
Emission: emission+N+SG
impurities: impurity+N+PL
Chromium: chromium+N+SG
58.8%: 58.8%+N+SG
61.2%: 61.2%+N+SG
CuK**ya: cuk**ya+N+SG
susceptibility: Invalid Word
Electron: electron+N+SG
0.3M: 0.3m+N+SG
crystallites: crystallite+N+PL
spectrometer: spectrometer+N+SG
electromagnet: electromagnet+N+SG
Mc/sec: mc/sec+N+SG
distortions: distortion+N+PL
Background: background+N+SG
spin: spin+N+SG
Field: field+N+SG
Corrections: correction+N+PL
Spectra: spectra+N+SG
capillary: capillary+N+SG
alundum: alundum+N+SG
Polyphosphates: polyphosphate+N+PL
surfactants: surfactant+N+PL
polyphosphates: polyphosphate+N+PL
synergism: Invalid Word
actives: active+N+PL
alkylbenzenesulfonates: alkylbenzenesulfonate+N+PL
tripolyphosphate: tripolyphosphate+N+SG
tetrasodium: tetrasodium+N+SG
pyrophosphate: pyrophosphate+N+SG
granules: granule+N+PL
active: active+N+SG
dishwashers: Invalid Word
trisodium: trisodium+N+SG
orthophosphate: orthophosphate+N+SG
phosphates: phosphate+N+PL
substrate: substrate+N+SG
coupon: coupon+N+SG
reactivity: reactivity+N+SG
washings: Invalid Word
grey: grey+N+SG
reflectance: reflectance+N+SG
swatches: swatch+N+PL
redeposition: redeposition+N+SG
Hydroxides: hydroxide+N+PL
orthophosphates: orthophosphate+N+PL
borates: borate+N+PL
carbonates: carbonate+N+PL
silicates: silicate+N+PL
Dirt: dirt+N+SG
hydrocarbons: hydrocarbon+N+PL
esters: ester+N+PL
glycerol: glycerol+N+SG
Stains: stain+N+PL
greases: greas+N+PL
Greases: greas+N+PL
micelles: micelle+N+PL
polymerization: polymerization+N+SG
agglomeration: agglomeration+N+SG
anions: anion+N+PL
micelle: micelle+N+SG
monomers: monomer+N+PL
dimers: dimer+N+PL
anionics: anionic+N+PL
assemblages: assemblage+N+PL
hydrocarbon: hydrocarbon+N+SG
Micelles: micelle+N+PL
detergency: Invalid Word
interfaces: interface+N+PL
surfactant: surfactant+N+SG
Substances: substance+N+PL
polyelectrolytes: polyelectrolyte+N+PL
sorption: sorption+N+SG
polyphosphate: polyphosphate+N+SG
flocculation: flocculation+N+SG
antiredeposition: antiredeposition+N+SG
isomers: isomer+N+PL
quantum: quantum+N+SG
reagents: reagent+N+PL
tetrachloride: tetrachloride+N+SG
intermediates: intermediate+N+PL
halogens: halogen+N+PL
tetrahalides: tetrahalide+N+PL
chlorides: chloride+N+PL
prechlorination: prechlorination+N+SG
scavenger: Invalid Word
reproducibility: reproducibility+N+SG
radiochlorine: radiochlorine+N+SG
chips: chip+N+PL
flask: flask+N+SG
Liter: liter+N+SG
sulfur: sulfur+N+SG
reagent: reagent+N+SG
watt: watt+N+SG
alkali: alkali+N+SG
manifold: manifold+N+SG
reactants: reactant+N+PL
i.d.: i.d.+N+SG
AH6: ah6+N+SG
thermopile: thermopile+N+SG
potentiometer: potentiometer+N+SG
iodide: iodide+N+SG
Carrier: carrier+N+SG
titration: titration+N+SG
aliquots: aliquot+N+PL
fillings: filling+N+PL
mixtures: mixture+N+PL
electrolysis: electrolysi+N+PL
eutectic: eutectic+N+SG
irreproducibility: irreproducibility+N+SG
Sets: set+N+PL
uranyl: uranyl+N+SG
oxalate: oxalate+N+SG
actinometer: actinometer+N+SG
phosgene: phosgene+N+SG
Exchange: Invalid Word
proportionality: proportionality+N+SG
retardation: retardation+N+SG
diminution: diminution+N+SG
micrometeorites: micrometeorite+N+PL
replenishment: Invalid Word
impacts: impact+N+PL
micrometeorite: micrometeorite+N+SG
sensors: sensor+N+PL
meteors: meteor+N+PL
corona: corona+N+SG
cores: core+N+PL
probes: probe+N+PL
detector: detector+N+SG
detectors: detector+N+PL
vaporization: vaporization+N+SG
ejection: ejection+N+SG
hypervelocity: hypervelocity+N+SG
spheres: sphere+N+PL
sensor: sensor+N+SG
meteorite: meteorite+N+SG
densities: density+N+PL
extrapolation: extrapolation+N+SG
Extrapolation: extrapolation+N+SG
microns: micron+N+PL
meteorites: meteorite+N+PL
spherules: spherule+N+PL
dusts: dust+N+PL
incubation: incubation+N+SG
areosol: areosol+N+SG
pathogenesis: pathogenesi+N+PL
aerosols: aerosol+N+PL
assesment: assesment+N+SG
instillation: instillation+N+SG
respiration: respiration+N+SG
turbinates: turbinate+N+PL
cilia: cilia+N+SG
trachea: trachea+N+SG
bronchi: bronchi+N+SG
alveoli: alveoli+N+SG
inoculation: inoculation+N+SG
aerosol: aerosol+N+SG
Zinc: zinc+N+SG
sulfide: sulfide+N+SG
dosage: dosage+N+SG
isopleths: isopleth+N+PL
dosages: dosage+N+PL
var: var+N+SG
samplers: sampler+N+PL
portal: portal+N+SG
toxin: toxin+N+SG
tularemia: tularemia+N+SG
ulcer: ulcer+N+SG
Agents: agent+N+PL
brucellosis: brucellosi+N+PL
glanders: glander+N+PL
coccidioidomycosis: coccidioidomycosi+N+PL
microorganism: microorganism+N+SG
lethality: lethality+N+SG
antibiotic: antibiotic+N+SG
Mutants: mutant+N+PL
epidemics: epidemic+N+PL
typhus: typhu+N+PL
Lousiness: lousiness+N+SG
prerequisite: prerequisite+N+SG
antibodies: antibody+N+PL
ethanol: ethanol+N+SG
fractionation: fractionation+N+SG
electrophoresis: electrophoresi+N+PL
ultracentrifugation: ultracentrifugation+N+SG
chromatography: chromatography+N+SG
celluloses: cellulos+N+PL
Modifications: modification+N+PL
elution: elution+N+SG
sera: sera+N+SG
ABO: abo+N+SG
diethylaminoethyl: diethylaminoethyl+N+SG
DEAE: deae+N+SG
carboxymethyl: Invalid Word
agglutinins: agglutinin+N+PL
Serum: serum+N+SG
donors: donor+N+PL
antibody: antibody+N+SG
titer: titer+N+SG
saline: saline+N+SG
titers: titer+N+PL
albumin: albumin+N+SG
serum: serum+N+SG
agglutination: agglutination+N+SG
min: min+N+SG
bovine: bovine+N+SG
conciseness: conciseness+N+SG
antisera: antisera+N+SG
immunoelectrophoresis: immunoelectrophoresi+N+PL
buffer: buffer+N+SG
dialysis: dialysi+N+PL
supernatant: supernatant+N+SG
mEq: meq+N+SG
N/g: n/g+N+SG
mesh: Invalid Word
m**ym: m**ym+N+SG
spectrophotometer: spectrophotometer+N+SG
pervaporation: pervaporation+N+SG
barbital: barbital+N+SG
3MM: 3mm+N+SG
milliamperes/cell: milliamperes/cell+N+SG
bromphenol: bromphenol+N+SG
densitometry: densitometry+N+SG
eluates: eluate+N+PL
Fractions: fraction+N+PL
ultracentrifuge: ultracentrifuge+N+SG
1.25%: 1.25%+N+SG
Sedimentation: sedimentation+N+SG
